root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:19:00.793573 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4126503697:4126503805, ack 2999390586, win 501, length 108
00:19:00.902130 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33228:33264, ack 37, win 501, length 36
00:19:00.902165 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33264:33428, ack 37, win 501, length 164
00:19:00.902192 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33428:33464, ack 37, win 501, length 36
00:19:00.902225 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33464:33628, ack 37, win 501, length 164
00:19:00.902251 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33628:33664, ack 37, win 501, length 36
00:19:00.902283 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33664:33828, ack 37, win 501, length 164
00:19:00.902307 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33828:33864, ack 37, win 501, length 36
00:19:00.902338 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33864:34028, ack 37, win 501, length 164
00:19:00.902376 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34028:34064, ack 37, win 501, length 36
00:19:00.902397 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34064:34228, ack 37, win 501, length 164
00:19:00.902422 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34228:34264, ack 37, win 501, length 36
00:19:00.902453 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34264:34428, ack 37, win 501, length 164
00:19:00.902478 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34428:34464, ack 37, win 501, length 36
00:19:00.902509 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34464:34628, ack 37, win 501, length 164
00:19:00.902535 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34628:34664, ack 37, win 501, length 36
00:19:00.902545 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 32128, win 513, length 0
00:19:00.902575 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34664:34828, ack 37, win 501, length 164
00:19:00.902602 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34828:34864, ack 37, win 501, length 36
00:19:00.902633 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 34864:35028, ack 37, win 501, length 164
00:19:00.902670 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35028:35064, ack 37, win 501, length 36
00:19:00.902702 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35064:35228, ack 37, win 501, length 164
00:19:00.902728 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35228:35264, ack 37, win 501, length 36
00:19:00.902760 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35264:35428, ack 37, win 501, length 164
00:19:00.902786 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35428:35464, ack 37, win 501, length 36
00:19:00.902817 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35464:35628, ack 37, win 501, length 164
00:19:00.902841 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35628:35664, ack 37, win 501, length 36
00:19:00.902872 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35664:35828, ack 37, win 501, length 164
00:19:00.902898 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35828:35864, ack 37, win 501, length 36
00:19:00.902929 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 35864:36028, ack 37, win 501, length 164
00:19:00.917860 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 33044, win 509, length 0
00:19:00.917860 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 36028, win 513, length 0
00:19:00.917908 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 36028:38948, ack 37, win 501, length 2920
00:19:00.917962 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 38948:39096, ack 37, win 501, length 148
00:19:00.918074 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 39096:39244, ack 37, win 501, length 148
00:19:00.918170 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 39244:39784, ack 37, win 501, length 540
00:19:00.918215 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 39784:39948, ack 37, win 501, length 164
00:19:00.918255 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 39948:40112, ack 37, win 501, length 164
00:19:00.918293 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40112:40276, ack 37, win 501, length 164
00:19:00.918331 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40276:40440, ack 37, win 501, length 164
00:19:00.918368 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40440:40604, ack 37, win 501, length 164
00:19:00.918405 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40604:40768, ack 37, win 501, length 164
00:19:00.918442 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40768:40932, ack 37, win 501, length 164
00:19:00.918490 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 40932:41096, ack 37, win 501, length 164
00:19:00.918544 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41096:41260, ack 37, win 501, length 164
00:19:00.918581 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41260:41424, ack 37, win 501, length 164
00:19:00.918631 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41424:41588, ack 37, win 501, length 164
00:19:00.918685 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41588:41752, ack 37, win 501, length 164
00:19:00.918723 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41752:41916, ack 37, win 501, length 164
00:19:00.918760 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 41916:42080, ack 37, win 501, length 164
00:19:00.918796 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42080:42244, ack 37, win 501, length 164
00:19:00.918833 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42244:42408, ack 37, win 501, length 164
00:19:00.918870 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42408:42572, ack 37, win 501, length 164
00:19:00.918907 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42572:42736, ack 37, win 501, length 164
00:19:00.918946 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42736:42900, ack 37, win 501, length 164
00:19:00.919000 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 42900:43064, ack 37, win 501, length 164
00:19:00.919046 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43064:43228, ack 37, win 501, length 164
00:19:00.919084 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43228:43392, ack 37, win 501, length 164
00:19:00.919122 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43392:43556, ack 37, win 501, length 164
00:19:00.919159 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43556:43720, ack 37, win 501, length 164
00:19:00.919205 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43720:43884, ack 37, win 501, length 164
00:19:00.919256 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 43884:44048, ack 37, win 501, length 164
00:19:00.919322 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44048:44212, ack 37, win 501, length 164
00:19:00.933657 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 44212, win 513, length 0
00:19:00.933721 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44212:44376, ack 37, win 501, length 164
00:19:00.933901 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44376:44660, ack 37, win 501, length 284
00:19:00.933971 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44660:44824, ack 37, win 501, length 164
00:19:00.934026 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44824:44988, ack 37, win 501, length 164
00:19:00.934076 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 44988:45152, ack 37, win 501, length 164
00:19:00.934126 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45152:45316, ack 37, win 501, length 164
00:19:00.934176 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45316:45480, ack 37, win 501, length 164
00:19:00.934225 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45480:45644, ack 37, win 501, length 164
00:19:00.934276 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45644:45808, ack 37, win 501, length 164
00:19:00.934325 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45808:45972, ack 37, win 501, length 164
00:19:00.934374 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 45972:46136, ack 37, win 501, length 164
00:19:00.934425 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46136:46300, ack 37, win 501, length 164
00:19:00.934474 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46300:46464, ack 37, win 501, length 164
00:19:00.934524 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46464:46628, ack 37, win 501, length 164
00:19:00.934572 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46628:46792, ack 37, win 501, length 164
00:19:00.934623 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46792:46956, ack 37, win 501, length 164
00:19:00.934703 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 46956:47120, ack 37, win 501, length 164
00:19:00.934755 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47120:47284, ack 37, win 501, length 164
00:19:00.934806 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47284:47448, ack 37, win 501, length 164
00:19:00.934858 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47448:47612, ack 37, win 501, length 164
00:19:00.934908 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47612:47776, ack 37, win 501, length 164
00:19:00.934961 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47776:47940, ack 37, win 501, length 164
00:19:00.935014 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 47940:48104, ack 37, win 501, length 164
00:19:00.935070 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48104:48268, ack 37, win 501, length 164
00:19:00.935124 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48268:48432, ack 37, win 501, length 164
00:19:00.935177 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48432:48596, ack 37, win 501, length 164
00:19:00.935229 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48596:48760, ack 37, win 501, length 164
00:19:00.935281 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48760:48924, ack 37, win 501, length 164
00:19:00.935332 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 48924:49088, ack 37, win 501, length 164
00:19:00.935384 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49088:49252, ack 37, win 501, length 164
00:19:00.935434 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49252:49416, ack 37, win 501, length 164
00:19:00.935486 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49416:49580, ack 37, win 501, length 164
00:19:00.935535 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49580:49744, ack 37, win 501, length 164
00:19:00.935585 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49744:49908, ack 37, win 501, length 164
00:19:00.935637 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 49908:50072, ack 37, win 501, length 164
00:19:00.947286 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 45316, win 508, length 0
00:19:00.947326 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 50072:50236, ack 37, win 501, length 164
00:19:00.947476 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 50236:50520, ack 37, win 501, length 284
00:19:00.947520 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 50520:50684, ack 37, win 501, length 164
00:19:00.947565 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 46464, win 513, length 0
00:19:00.947569 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 50684:50848, ack 37, win 501, length 164
00:19:00.947616 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 50848:51132, ack 37, win 501, length 284
00:19:00.947655 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51132:51296, ack 37, win 501, length 164
00:19:00.947692 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51296:51460, ack 37, win 501, length 164
00:19:00.947729 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51460:51624, ack 37, win 501, length 164
00:19:00.947765 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51624:51788, ack 37, win 501, length 164
00:19:00.947804 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51788:51952, ack 37, win 501, length 164
00:19:00.947841 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 51952:52116, ack 37, win 501, length 164
00:19:00.947878 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 52116:52280, ack 37, win 501, length 164
00:19:00.947928 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 52280:52444, ack 37, win 501, length 164
00:19:00.950030 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 48760, win 513, length 0
00:19:00.950048 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 52444:52608, ack 37, win 501, length 164
00:19:00.950124 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 52608:52892, ack 37, win 501, length 284
00:19:00.950165 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 52892:53056, ack 37, win 501, length 164
00:19:00.950202 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53056:53220, ack 37, win 501, length 164
00:19:00.950240 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53220:53384, ack 37, win 501, length 164
00:19:00.950278 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53384:53548, ack 37, win 501, length 164
00:19:00.950315 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53548:53712, ack 37, win 501, length 164
00:19:00.950353 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53712:53876, ack 37, win 501, length 164
00:19:00.950390 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 53876:54040, ack 37, win 501, length 164
00:19:00.950441 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54040:54204, ack 37, win 501, length 164
00:19:00.950479 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54204:54368, ack 37, win 501, length 164
00:19:00.950516 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54368:54532, ack 37, win 501, length 164
00:19:00.950552 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54532:54696, ack 37, win 501, length 164
00:19:00.950589 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54696:54860, ack 37, win 501, length 164
00:19:00.950787 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 50072, win 508, length 0
00:19:00.950796 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 54860:55024, ack 37, win 501, length 164
00:19:00.950845 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55024:55308, ack 37, win 501, length 284
00:19:00.950882 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55308:55472, ack 37, win 501, length 164
00:19:00.950918 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55472:55636, ack 37, win 501, length 164
00:19:00.950957 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55636:55800, ack 37, win 501, length 164
00:19:00.950994 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55800:55964, ack 37, win 501, length 164
00:19:00.951030 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 55964:56128, ack 37, win 501, length 164
00:19:00.951069 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 56128:56292, ack 37, win 501, length 164
00:19:00.959795 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 50236, win 513, length 0
00:19:00.959796 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 50684, win 511, length 0
00:19:00.959828 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 56292:56456, ack 37, win 501, length 164
00:19:00.959989 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 56456:56852, ack 37, win 501, length 396
00:19:00.960039 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 56852:57016, ack 37, win 501, length 164
00:19:00.961062 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 52116, win 513, length 0
00:19:00.961072 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57016:57180, ack 37, win 501, length 164
00:19:00.961129 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57180:57464, ack 37, win 501, length 284
00:19:00.961167 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57464:57628, ack 37, win 501, length 164
00:19:00.961203 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57628:57792, ack 37, win 501, length 164
00:19:00.961239 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57792:57956, ack 37, win 501, length 164
00:19:00.961275 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 57956:58120, ack 37, win 501, length 164
00:19:00.961311 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 58120:58284, ack 37, win 501, length 164
00:19:00.961347 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 58284:58448, ack 37, win 501, length 164
00:19:00.962045 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 52444, win 512, length 0
00:19:00.962051 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 58448:58612, ack 37, win 501, length 164
00:19:00.962100 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 58612:58896, ack 37, win 501, length 284
00:19:00.962983 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 53548, win 507, length 0
00:19:00.962990 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 58896:59060, ack 37, win 501, length 164
00:19:00.963037 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 59060:59344, ack 37, win 501, length 284
00:19:00.963091 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 59344:59508, ack 37, win 501, length 164
00:19:00.963128 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 59508:59672, ack 37, win 501, length 164
00:19:00.963175 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 59672:59836, ack 37, win 501, length 164
00:19:00.963211 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 59836:60000, ack 37, win 501, length 164
00:19:00.963643 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 54860, win 513, length 0
00:19:00.963650 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60000:60164, ack 37, win 501, length 164
00:19:00.963697 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60164:60448, ack 37, win 501, length 284
00:19:00.963735 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60448:60612, ack 37, win 501, length 164
00:19:00.963770 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60612:60776, ack 37, win 501, length 164
00:19:00.963806 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60776:60940, ack 37, win 501, length 164
00:19:00.963841 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 60940:61104, ack 37, win 501, length 164
00:19:00.963876 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 61104:61268, ack 37, win 501, length 164
00:19:00.963932 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 61268:61432, ack 37, win 501, length 164
00:19:00.969372 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 56292, win 507, length 0
